Group,Name,Value
ErrorCode,Ok,0
ErrorCode,OperationNotAllowedInCurrentState,-3
ErrorCode,InvalidOperationCode,-2
ErrorCode,InvalidOperation,-2
ErrorCode,InternalServerError,-1
ErrorCode,InvalidAuthentication,32767
ErrorCode,GameIdAlreadyExists,32766
ErrorCode,GameFull,32765
ErrorCode,GameClosed,32764
ErrorCode,AlreadyMatched,32763
ErrorCode,ServerFull,32762
ErrorCode,UserBlocked,32761
ErrorCode,NoRandomMatchFound,32760
ErrorCode,GameDoesNotExist,32758
ErrorCode,MaxCcuReached,32757
ErrorCode,InvalidRegion,32756
ErrorCode,CustomAuthenticationFailed,32755
ErrorCode,AuthenticationTicketExpired,32753
ErrorCode,PluginReportedError,32752
ErrorCode,PluginMismatch,32751
ErrorCode,JoinFailedPeerAlreadyJoined,32750
ErrorCode,JoinFailedFoundInactiveJoiner,32749
ErrorCode,JoinFailedWithRejoinerNotFound,32748
ErrorCode,JoinFailedFoundExcludedUserId,32747
ErrorCode,JoinFailedFoundActiveJoiner,32746
ErrorCode,HttpLimitReached,32745
ErrorCode,ExternalHttpCallFailed,32744
ErrorCode,SlotError,32742
ErrorCode,InvalidEncryptionParameters,32741
EventCode,GameList,230
EventCode,GameListUpdate,229
EventCode,QueueState,228
EventCode,Match,227
EventCode,AppStats,226
EventCode,LobbyStats,224
EventCode,AzureNodeInfo,210
EventCode,Join,255
EventCode,Leave,254
EventCode,PropertiesChanged,253
EventCode,SetProperties,253
EventCode,ErrorInfo,251
EventCode,CacheSliceChanged,250
EventCode,AuthEvent,223
ParameterCode,SuppressRoomEvents,237
ParameterCode,EmptyRoomTTL,236
ParameterCode,PlayerTTL,235
ParameterCode,EventForward,234
ParameterCode,IsComingBack,233
ParameterCode,IsInactive,233
ParameterCode,CheckUserOnJoin,232
ParameterCode,ExpectedValues,231
ParameterCode,Address,230
ParameterCode,PeerCount,229
ParameterCode,GameCount,228
ParameterCode,MasterPeerCount,227
ParameterCode,UserId,225
ParameterCode,ApplicationId,224
ParameterCode,Position,223
ParameterCode,MatchMakingType,223
ParameterCode,GameList,222
ParameterCode,Secret,221
ParameterCode,AppVersion,220
ParameterCode,AzureNodeInfo,210
ParameterCode,AzureLocalNodeId,209
ParameterCode,AzureMasterNodeId,208
ParameterCode,RoomName,255
ParameterCode,Broadcast,250
ParameterCode,ActorList,252
ParameterCode,ActorNr,254
ParameterCode,PlayerProperties,249
ParameterCode,CustomEventContent,245
ParameterCode,Data,245
ParameterCode,Code,244
ParameterCode,GameProperties,248
ParameterCode,Properties,251
ParameterCode,TargetActorNr,253
ParameterCode,ReceiverGroup,246
ParameterCode,Cache,247
ParameterCode,CleanupCacheOnLeave,241
ParameterCode,Group,240
ParameterCode,Remove,239
ParameterCode,PublishUserId,239
ParameterCode,Add,238
ParameterCode,Info,218
ParameterCode,ClientAuthenticationType,217
ParameterCode,ClientAuthenticationParams,216
ParameterCode,JoinMode,215
ParameterCode,ClientAuthenticationData,214
ParameterCode,MasterClientId,203
ParameterCode,FindFriendsRequestList,1
ParameterCode,FindFriendsOptions,2
ParameterCode,FindFriendsResponseOnlineList,1
ParameterCode,FindFriendsResponseRoomIdList,2
ParameterCode,LobbyName,213
ParameterCode,LobbyType,212
ParameterCode,LobbyStats,211
ParameterCode,Region,210
ParameterCode,UriPath,209
ParameterCode,WebRpcParameters,208
ParameterCode,WebRpcReturnCode,207
ParameterCode,WebRpcReturnMessage,206
ParameterCode,CacheSliceIndex,205
ParameterCode,Plugins,204
ParameterCode,NickName,202
ParameterCode,PluginName,201
ParameterCode,PluginVersion,200
ParameterCode,Cluster,196
ParameterCode,ExpectedProtocol,195
ParameterCode,CustomInitData,194
ParameterCode,EncryptionMode,193
ParameterCode,EncryptionData,192
ParameterCode,RoomOptionFlags,191
OperationCode,ExchangeKeysForEncryption,250
OperationCode,Join,255
OperationCode,AuthenticateOnce,231
OperationCode,Authenticate,230
OperationCode,JoinLobby,229
OperationCode,LeaveLobby,228
OperationCode,CreateGame,227
OperationCode,JoinGame,226
OperationCode,JoinRandomGame,225
OperationCode,Leave,254
OperationCode,RaiseEvent,253
OperationCode,SetProperties,252
OperationCode,GetProperties,251
OperationCode,ChangeGroups,248
OperationCode,FindFriends,222
OperationCode,GetLobbyStats,221
OperationCode,GetRegions,220
OperationCode,WebRpc,219
OperationCode,ServerSettings,218
OperationCode,GetGameList,217
